T(K),B(Oe),B(T),Cp(mu J/K)
1.5400693,1999.775,0.1999775,22.276667
1.5642225,1999.775,0.1999775,21.800531
1.5886262,1999.775,0.1999775,21.258522
1.61315,1999.775,0.1999775,20.752745
1.6374968,1999.775,0.1999775,20.305155
1.6617916,1999.775,0.1999775,19.871035
1.6860771,1999.775,0.1999775,19.438549
1.7103113,1999.775,0.1999775,19.172066
1.7343629,1999.775,0.1999775,18.75228
1.7580718,1999.775,0.1999775,18.389377
1.7816764,1999.775,0.1999775,18.090701
1.8050196,1999.775,0.1999775,17.829272
1.8281867,1999.775,0.1999775,17.440517
1.8512104,1999.775,0.1999775,17.058318
1.8735664,1999.775,0.1999775,16.82388
1.8956603,1999.775,0.1999775,16.682961
1.9176153,1999.775,0.1999775,16.367746
1.9390824,1999.775,0.1999775,16.221726
1.9600314,1999.775,0.1999775,15.965189
1.9805462,1999.775,0.1999775,15.554518
2.0010739,1999.775,0.1999775,15.226571
2.0208617,1999.775,0.1999775,15.251839
2.040101,1999.775,0.1999775,14.993806
2.0590357,1999.775,0.1999775,14.838694
2.0772957,1999.775,0.1999775,14.849567
2.0951352,1999.775,0.1999775,14.666238
2.1121068,1999.775,0.1999775,14.442324
2.1291732,1999.775,0.1999775,14.236161
2.145421,1999.775,0.1999775,14.092429
2.1612167,1999.775,0.1999775,13.832864
2.1764866,1999.775,0.1999775,13.920231
2.1914953,1999.775,0.1999775,13.511216
2.2062016,1999.775,0.1999775,13.349011
2.2201212,1999.775,0.1999775,13.033831
2.2339873,1999.775,0.1999775,12.712255
2.2469104,1999.775,0.1999775,12.801655
2.2599035,1999.775,0.1999775,12.854306
2.2720237,1999.775,0.1999775,12.67579
2.2837008,1999.775,0.1999775,12.52358
2.2949086,1999.775,0.1999775,12.535948
2.3054853,1999.775,0.1999775,12.202189
2.3163412,1999.775,0.1999775,12.030428
2.3263545,1999.775,0.1999775,11.758306
2.3363135,1999.775,0.1999775,11.259853
2.3457274,1999.775,0.1999775,11.101407
2.3546386,1999.775,0.1999775,11.40347
2.3634637,1999.775,0.1999775,11.37474
2.3718665,1999.775,0.1999775,10.798759
2.3799182,1999.775,0.1999775,10.72261
2.3869111,1999.775,0.1999775,10.899848
2.394218,1999.775,0.1999775,10.512166
2.4013856,1999.775,0.1999775,10.668506
2.4077753,1999.775,0.1999775,10.742751
2.4139224,1999.775,0.1999775,9.9216036
2.4198358,1999.775,0.1999775,9.4666291
2.4258372,1999.775,0.1999775,9.9577194
2.4310371,1999.775,0.1999775,9.8853614
2.436409,1999.775,0.1999775,9.1088739
2.4417277,1999.775,0.1999775,8.7988894
2.4464207,1999.775,0.1999775,8.4202945
2.4513118,1999.775,0.1999775,7.697743
2.4557688,1999.775,0.1999775,7.840472
2.4603909,1999.775,0.1999775,7.8074821
2.4639799,1999.775,0.1999775,8.2130626
2.4676441,1999.775,0.1999775,7.8518174
2.4711426,1999.775,0.1999775,8.1191842
2.4744403,1999.775,0.1999775,6.8215163
2.4776053,1999.775,0.1999775,6.8727225
2.4802041,1999.775,0.1999775,6.4479436
2.4833875,1999.775,0.1999775,6.2772825
2.4863288,1999.775,0.1999775,5.3047034
2.4891692,1999.775,0.1999775,4.9473969
2.4917011,1999.775,0.1999775,3.995511
2.4943848,1999.775,0.1999775,3.5662978
2.4969592,1999.775,0.1999775,3.6384186
2.4990233,1999.775,0.1999775,3.7168907
2.5012212,1999.775,0.1999775,2.6595993
2.5030843,1999.775,0.1999775,2.3877386
2.5049185,1999.775,0.1999775,1.6427517
