T,Field,Field,C\-(p) (J\f:m(�)mole\+(-1)\f:m(�)K\+(-1))
0.829,8999.867,0.8999867,8306.8596
0.85336,8999.867,0.8999867,9043.1704
0.87772,8999.867,0.8999867,9520.1625
0.90208,8999.867,0.8999867,9094.6911
0.92644,8999.867,0.8999867,8069.6011
0.9508,8999.867,0.8999867,8152.913
0.97516,8999.867,0.8999867,8787.9408
0.99952,8999.867,0.8999867,9400.6312
1.02388,8999.867,0.8999867,9667.6717
1.04824,8999.867,0.8999867,9662.947
1.0726,8999.867,0.8999867,9835.3125
1.09696,8999.867,0.8999867,10069.988
1.12132,8999.867,0.8999867,10393.158
1.14568,8999.867,0.8999867,11068.726
1.17004,8999.867,0.8999867,10617.877
1.1944,8999.867,0.8999867,10477.603
1.21876,8999.867,0.8999867,10477.308
1.24312,8999.867,0.8999867,10562.608
1.26748,8999.867,0.8999867,10780.729
1.29184,8999.867,0.8999867,11198.211
1.3162,8999.867,0.8999867,11510.723
1.34056,8999.867,0.8999867,9402.8132
1.36492,8999.867,0.8999867,7460.9299
1.38928,8999.867,0.8999867,6437.8899
1.41364,8999.867,0.8999867,5823.5503
1.438,8999.867,0.8999867,5369.3837
1.46236,8999.867,0.8999867,4995.5706
1.48672,8999.867,0.8999867,4729.7868
1.51107,8999.867,0.8999867,4502.7433
1.53543,8999.867,0.8999867,4296.2613
1.55979,8999.867,0.8999867,4114.2264
1.58415,8999.867,0.8999867,3952.9297
0.62668,9999.837,0.9999837,4756.7568
0.65158,9999.837,0.9999837,5093.9168
0.67648,9999.837,0.9999837,5435.6946
0.70138,9999.837,0.9999837,5778.9206
0.72628,9999.837,0.9999837,6251.2495
0.75118,9999.837,0.9999837,7678.7258
0.77608,9999.837,0.9999837,8051.2329
0.80098,9999.837,0.9999837,8720.8598
0.82587,9999.837,0.9999837,8228.4586
0.85077,9999.837,0.9999837,7256.9422
0.87567,9999.837,0.9999837,6912.8014
0.90057,9999.837,0.9999837,6945.7328
0.92547,9999.837,0.9999837,7185.9611
0.95037,9999.837,0.9999837,7682.6554
0.97527,9999.837,0.9999837,8419.6237
1.00017,9999.837,0.9999837,9088.2985
