# ha  Sx  Sy  Sz
4.200000000000000178e+00 5.905601356955334502e-01 -8.665993333333437616e-08 -6.929527613999785906e-04
4.299999999999999822e+00 6.042042436434668096e-01 -7.655926666666668082e-08 -6.795748290000069424e-04
4.400000000000000355e+00 6.178497358890671087e-01 -3.552333333333292549e-08 -6.601216755333243246e-04
4.500000000000000000e+00 6.314970716375333248e-01 -1.022393333333314994e-08 -6.334396391333349790e-04
4.599999999999999645e+00 6.451469718448664681e-01 -2.174200000000015095e-09 -5.983329949333334504e-04
4.700000000000000178e+00 6.588007586802664406e-01 -2.874666666666641644e-10 -5.522252207333414823e-04
4.799999999999999822e+00 6.724610410700001539e-01 -1.613333333333310249e-11 -4.905628091333374225e-04
4.900000000000000355e+00 6.861338863182000480e-01 -6.666666666666839787e-14 -4.030043299333282091e-04
5.000000000000000000e+00 6.998412764275998565e-01 0.000000000000000000e+00 -2.484729054666568013e-04
5.099999999999999645e+00 7.134524962311330487e-01 0.000000000000000000e+00 -2.753943666671748174e-06
5.200000000000000178e+00 7.270553578410665629e-01 0.000000000000000000e+00 -3.745233133334302692e-06
5.299999999999999822e+00 7.405785427763333928e-01 0.000000000000000000e+00 4.481105947333480634e-04
5.400000000000000355e+00 7.541449361093337522e-01 0.000000000000000000e+00 6.007728466666762898e-04
5.500000000000000000e+00 7.674874923562002849e-01 0.000000000000000000e+00 4.381494087999938925e-04
5.599999999999999645e+00 7.809851837002667052e-01 0.000000000000000000e+00 3.798813547333172009e-04
5.700000000000000178e+00 7.944751906662669283e-01 0.000000000000000000e+00 3.202032217999923507e-04
5.799999999999999822e+00 8.079579866934666343e-01 0.000000000000000000e+00 2.620679082666659758e-04
5.900000000000000355e+00 8.214312659785331094e-01 0.000000000000000000e+00 2.208068873333172424e-04
6.000000000000000000e+00 8.348960932328004514e-01 0.000000000000000000e+00 2.098384467333409180e-04
6.099999999999999645e+00 8.483645646806667884e-01 0.000000000000000000e+00 1.927463178666790917e-04
6.200000000000000178e+00 8.618369978660667119e-01 0.000000000000000000e+00 1.698110206666658792e-04
6.299999999999999822e+00 8.753130757485331204e-01 0.000000000000000000e+00 1.432850473999966825e-04
6.400000000000000355e+00 8.887923634754002489e-01 0.000000000000000000e+00 1.154644626666565237e-04
6.500000000000000000e+00 9.022745753794669810e-01 0.000000000000000000e+00 8.838663560000181989e-05
6.599999999999999645e+00 9.157634503634004552e-01 0.000000000000000000e+00 2.512126066667791835e-06
